rating,comment,sentiment,clean_comment
5,barang bagus,positive,barang bagus
5,ok,positive,ok
5,"lega karena packing nya rapi dan barangnya tidak rusak dan aman, worth it sih dengan harga segitu",positive,lega packing rapi barang tidak rusak aman harga sih harga segitu
3,"untuk barangnya selamat sampai tujuan, tapi untuk volumenya besar sebelah, walaupun bisa di atur di hp, tolong kualitasnya di jaga, semoga awat barangnya",neutral,barang selamat tuju untuk volume besar belah walaupun atur ponsel kualitas di jaga moga awat barang
5,"tutor cara pakenya dong kak, kok yg hidup cuma 1 aja punya saya",positive,tutor cara pakenya dong kak kok hidup cuma aja punya
4,barang sesuai pesanan thx kak..,positive,barang sesuai pesan terima kasih kak
5,"barang bagus, cepat sampai, recommended!",positive,barang bagus cepat
5,"barang mantep parah, suaranya keras walau volume kecil",positive,barang mantap parah suara keras volume kecil
5,"packing standar, kualitas sesuai harga, barangnya bisa nyala",positive,packing standar kualitas sesuai harga barang nyala
5,packingnya aman dan nyampenya cepet. thank you min 🙏🙏,positive,packingnya aman sampai cepat terima kasih kamu min
5,semua fitur berfungsi dengan baik,positive,semua fitur fungsi baik
5,barang sampai dengan bagus dan tidak cacat,positive,barang dengan bagus tidak cacat
5,ok sesuai pesanan semoga awet yaa,positive,ok sesuai pesan moga awet
5,lumayan lah buat harga segini udah dapet tws yang suaranya enak di telinga,positive,lumayan buat harga gin udah tws suara enak telinga
5,tws berfungsi dengan baik tidak ada kendala.mantap,positive,tws fungsi baik tidak kendala mantap
4,"dusnya saat sampai penyok dan twsnya sebelah kanan tidak bisa ditap/click, hanya sebelah kirinya saja.",positive,dus sampai penyok twsnya belah kanan tidak tap click belah kiri
4,harga + respon x quality barang = 4 jempolll,positive,harga respon quality barang jempol
5,"barangnya dateng cukup lama tapi its okelah. packingnya rapi dan aman. walaupun kualitas suaranya kurang mantap, tapi untuk sekelas harga segini sudah termasuk bagus. rek...",positive,barang datang cukup lama oke packingnya rapi aman walaupun kualitas suara kurang mantap untuk kelas harga gin masuk bagus arek
4,joss. tp kadang konek sebelah doang. hahaha,positive,mantap kadang hubung belah doang hahaha
5,barang sesuai dengan pesanan,positive,barang sesuai pesan
5,kualitas sesuai harga aja,positive,kualitas sesuai harga aja
5,berfungsi dengan baik,positive,fungsi baik
5,ternyata datangnya lebih cepat dari pada dugaan packingnya bagus tapi belum di coba terimakasih untuk selernya dan kurir nya mantap dah,positive,nyata datang lebih cepat pada duga packingnya bagus belum coba terima kasih jual kurir mantap dah
5,mantap,positive,mantap
5,bagus berfungsi dg baik,positive,bagus fungsi baik
3,"udah bayar lebih proteksi tpi packing sangat tipis tidak aman, bahkan kardus kemasan penyok -barang sesuai dengan harga -pengiriman cepat sehari sampai -terima kasih",neutral,udah bayar lebih proteksi packing sangat tipis tidak aman bahkan kardus kemas penyok barang sesuai harga kirim cepat hari terima kasih
4,mantap....,positive,mantap
5,"terimakasih pesanannya sdh sampe, sama seperti di gambar, semoga makin sukses",positive,terima kasih pesan sampai sama di gambar moga makin sukses
5,pembelian ke 2 dtoko yg sama.rekomendet bgt,positive,beli di toko sama rekomendet sangat
5,semua fitur berfungsi dengan baik bass goks bet paten dah,positive,semua fitur fungsi baik bass gokil bet paten dah
5,"suara nya bagus , cocok untuk anggota dpr kita yang ***** kuping nya gabisa denger suara rakyat. untuk ketahanan batre belom tau",positive,suara bagus cocok anggota dewan wakil rakyat yang telinga tidak dengar suara rakyat tahan baterai bom tau
5,bagus untuk sekelas harganya,positive,bagus kelas harga
5,"pesanan telah diterima dengan baik, sesuai dengan jadwal waktu diterima dan orderan",positive,pesan terima baik sesuai jadwal waktu terima order
5,barang oke,positive,barang oke
5,kualitas barang oke pengiriman barang oke senang belanja di tokopedia,positive,kualitas barang oke kirim barang oke senang belanja tokopedia
3,"barang sudah terima dengan baik ,di tes berfungsi dgn baik ,tapi sayang pas di pakai untuk headset nya batrainya ga tahan lama tidak sampai 10 ment batrainya sudah habis...",neutral,barang terima baik tes fungsi baik sayang pas pakai headset baterai tidak tahan lama tidak menit baterai habis
1,barang rusak gak bisa di pakai,negative,barang rusak tidak di pakai
5,bagus sekali tidak ada yang rusak,positive,bagus sekali tidak yang rusak
5,maaf baru ulas barang bagus seller cepat kurir ramah,positive,maaf baru ulas barang bagus jual cepat kurir ramah
5,sesuai deskripsi,positive,sesuai deskripsi
5,paket sudah sampai..sesuai dengan pesanan smoga awet..terima kasih,positive,paket sampai sesuai pesan moga awet terima kasih
5,ok,positive,ok
1,barang nyampe.. tapi hanya box nya doank. nggak amanah ini toko.. menyesal belanja di sini,negative,barang tapi kotak doang tidak amanah toko sesal belanja sini
1,"jelek banget asem, ngga berfungsi",negative,jelek sangat asem tidak fungsi
2,"pemakaian ga smpai 1bulan sudah mati,,",negative,pakai tidak bulan mati
5,respon seller cpt.packing aman.berfungsi dg baik.rhx,positive,respon jual cepat packing aman fungsi baik terima kasih
5,respon penjual cepat. best seller,positive,respon jual cepat best jual
4,suaranya cempreng tapi buat harga segitu ya sesuai,positive,suara jelek buat harga segitu sesuai
5,"bagus sesuai harga, barang berfungsi dan proses cepat",positive,bagus sesuai harga barang fungsi proses cepat
3,baterainya cepat habis,neutral,baterai cepat habis
5,"pesanan telah diterima dengan baik, sesuai dengan jadwal waktu diterima dan orderan",positive,pesan terima baik sesuai jadwal waktu terima order
5,barang sesuai pict...pengiriman cepat....semoga awet,positive,barang sesuai gambar kirim cepat moga awet
5,baru di coba semoga awet,positive,baru coba moga awet
5,"berfungsi dengan baik,, suara bass nya kurang nendang, semoga awet boz ku,, trima kasih 🙏",positive,fungsi baik suara bass kurang nendang moga awet bos ku terima kasih
5,barang bagus....dan berfungsi ...no..kaleng-kaleng...,positive,barang bagus fungsi tidak kaleng kaleng
1,"barang sebenarnya bagus sesuai harga, tpi yg sebelah nya tidak bisa terhubung ke bluetooth dan ditanyakan ke seller malah respon yg tidak menyenangkan padahal niat ngasih...",negative,barang benar bagus sesuai harga belah tidak hubung bluetooth tanya jual malah respon yang tidak senang padahal niat kasih
5,barang mendarat dengan aman dan untuk harga segitu sangat baguss..,positive,barang darat aman untuk harga segitu sangat bagus
5,ok mantap 👍 saking mantap nya dipinjam kawan ga balik kawan ga da akhlak 😂,positive,ok mantap saking mantap pinjam kawan tidak balik kawan tidak da akhlak
5,"udh sampai dan aman "" suaranya juga sdh enk. saat buka nggak nyangka besar juga barangnya 😅",positive,sampai aman suara sudah enak buka tidak sangka besar barang
4,"suara kanan dan kiri ga seimbang, yg kanan agak lebih pelan suaranya.",positive,suara kanan kiri tidak imbang kanan lebih lambat suara
4,"barangnya oke, kualitasnya sesuai",positive,barang oke kualitas sesuai
5,"barang nya sampe dgn selamat,,mantappp murah tp tidak murahan",positive,barang sampai selamat mantap murah tidak murah
5,oke lah harga segitu,positive,oke harga segitu
5,"pengiriman cepat, gratis ongkir",positive,kirim cepat gratis ongkir
4,"cepat, aman sesuai",positive,cepat aman sesuai
5,mantap lah,positive,mantap
5,mantap barang ok,positive,mantap barang ok
5,"kualitas suara lumayan bagus untuk harga segitu, yg kurang kualitas charging case yg boros, dipakai 2x untuk charging tws nya udah habis dan tws nya sendiri cuma tahan 2...",positive,kualitas suara lumayan bagus harga segitu kurang kualitas charging bungkus boros pakai charging tws udah habis tws sendiri cuma tahan
2,"ini nyalainnya kok ga. bisa , padahal 100 persen. mesti dipancing dulu dengan di charge sedetik.. gimana ini ??",negative,nyalainnya kok tidak padahal persen mesti pancing dulu di charge detik bagaimana
1,brng telah diterima dan di charge full. tp battery nya dropnya cepat sekali pdhal tidak sedang dipakai. kualitas kurang memuaskan.,negative,barang terima di charge full battery drop cepat sekali padahal tidak sedang pakai kualitas kurang muas
5,mantap sesuai deskripsi..,positive,mantap sesuai deskripsi
4,versi yg ini tdk ada on off manualnya,positive,versi ini tidak on mati manual
1,ajg kaga bisa nyala sebelah kepencet batal komplain,negative,anjing kagak nyala belah pencet batal komplain
5,oke,positive,oke
5,keren sih🙏,positive,keren sih
5,mantap banget,positive,mantap sangat
4,"baru bbrp kali pakai, yg sblh kiri sdh error. mgkin krn itulah hrg nya murah.",positive,baru beberapa kali pakai belah kiri salah mungkin itu harga murah
5,barangnya berfungsi dengan baik👍,positive,barang fungsi baik
2,"bertahan nya cuman sebentar paling 1jam 15 udh lowbat, yang sebelah kiri gk sampai 100 cuman 70 aja",negative,tahan cuman sebentar paling jam low battery belah kiri gak cuman aja
3,lampunya (flashlight) tdk berfungsi (tdk menyala),neutral,lampu flashlight tidak fungsi tidak nyala
5,barang sesuai,positive,barang sesuai
5,mantep bos..,positive,mantap bos
5,"barang datang sesuai deskripsi dan berfungsi dengan baik, pengiriman cepat sudah pembelian ke-2, yg sebelumnya bagus dan awet. top untuk produknya terima kasih seller, to...",positive,barang datang sesuai deskripsi fungsi baik kirim cepat beli yang bagus awet baik produk terima kasih jual to
5,"mantap, barang nya bagus, packing nya aman dan rapih, pengiriman nya lumayan cepet,",positive,mantap barang bagus packing aman rapih kirim lumayan cepat
4,"alhamdulillah barang oke,cuma awal ada kendala sedikit ga mau nyala tapi sekarang udah bisa,naterus buat alatnya tempatnya itu besinya agak mendem kedalem jadi harus di t...",positive,alhamdulillah barang oke cuma awal kendala sedikit tidak mau nyala sekarang udah naterus buat alat tempat besi mendem dalem jadi di
5,sesuai harga,positive,sesuai harga
5,joss anjenggg mantul,positive,mantap anjing mantap betul
4,"awal terima tidak balance tapi bisa bongkar sendiri ternyata driver geser dari lubang, days baterai terbatas tapi sangat worthed dengan harga under 50k. kalau serius paka...",positive,awal terima tidak balance bisa bongkar sendiri nyata driver geser lubang days baterai batas sangat worthed harga bawah kalau serius pakai
5,mantap,positive,mantap
4,"harga murah kualitas pun sebanding. tidak berharap lebih, jk butuh tws sekadar denger suara ini cukup.",positive,harga murah kualitas banding tidak harap lebih butuh tws sekadar dengar suara cukup
3,sesuai hargaaa,neutral,sesuai harga
1,"dikirim barang ga bisa nyala,, udah hampir 24 jam di cas masih ga ada tanda2 kehidupan... makasih bro sis sukses selalu 🤣🤣🤣👍👍👍",negative,kirim barang tidak nyala udah hampir jam cas tidak tanda hidup terima kasih sis sukses selalu
5,terima kasih,positive,terima kasih
1,ga nyala 1... rusak..,negative,tidak nyala rusak
5,sesuai harga,positive,sesuai harga
4,pengiriman nya lama,positive,kirim lama
5,proses cepat dan aman,positive,proses cepat aman
2,barang pecah,negative,barang pecah
1,"earphone yg kanan bermasalah , baru di pakai sudah lowbat padahal posisi kalau di charge masih ada , dan kalaupun bisa hanya 1 menit setelah langsung low , suaranya pun g...",negative,kanan masalah baru pakai low battery padahal posisi kalau charge ada kalaupun hanya menit langsung low suara
5,"bagus, cepat nyampe pula",positive,bagus cepat pula
4,produk sesuai berfungsi dengan baik terima kasih,positive,produk sesuai fungsi baik terima kasih
5,barang berfungsi baik. seller ok.tks seller. kurir yg mengecewakan.,positive,barang fungsi baik jual ok terima kasih jual kurir kecewa
5,"pembelian ke-2, barang sama seperti dipesan, normal, thanks seler",positive,beli barang sama pes normal terima kasih jual
3,kualitas suaranya kurang bagus,neutral,kualitas suara kurang bagus
3,packing kurang rapi,neutral,packing kurang rapi
5,mantap slur,positive,mantap lur
3,"mati sebelah, sesuai harga sih. belum cek kualitas suara dsb ga apa sih.",neutral,mati belah sesuai harga sih cek kualitas suara bagai tidak apa sih
5,sesuai harga,positive,sesuai harga
4,mantap suaranya,positive,mantap suara
3,"bahan hitam doff, bukan bahan mengkilat aseperti di pic. ukuran standar di telinga.",neutral,bahan hitam doff bukan bahan kilat gambar ukur standar di telinga
5,packing rapi,positive,packing rapi
5,mantabb,positive,mantap
5,proses cepat bgt n kualitas barang mantap sesuai dgn harganya.,positive,proses cepat sangat kualitas barang mantap sesuai harga
5,mantap. sempurna untuk harga segini. gak nyesel,positive,mantap sempurna harga gin tidak nyesal
4,bagus sih tapi kadang suka gak masuk kalo di cas nya,positive,bagus sih kadang suka tidak masuk kalo cas
1,barang yang di kirim tidak sesuai dengan apa yang ada di gambar,negative,barang kirim tidak sesuai apa ada di gambar
5,"recommended seller, cepat sampai,sesuai pesanan",positive,jual cepat sesuai pesan
5,"produk ok, seler jg ok banget",positive,produk ok jual ok sangat
3,headset nya mati sblh 😢tidak dibtesh dlu apa ps di kirim,neutral,headset mati belah tidak tes dulu apa ps kirim
5,barangnya sudah bagus g ad kurangnya paling cuman retak dikit 🤏,positive,barang bagus ad kurang paling cuman retak dikit
5,brg dah smp..bagus berfungsi baik..kurir dan saller amanah...rekomen dah beli di toko ini,positive,barang dah bagus fungsi baik kurir jual amanah rekomendasi dah beli toko
1,mati sebelah gk ada suara nyala nyala doang lampunya.,negative,mati belah gak suara nyala nyala doang lampu
5,sesuai pesanan....headset sdh di coba normal ...proses dan pengiriman cepat...mantap gun,positive,sesuai pesan headset di coba normal proses kirim cepat mantap gun
3,mati satu yang kanan. ngga bisa komplain karena tidak buat video unboxing. resiko beli barang murah... kalau mau bagus tws harga 100.000 up,neutral,mati satu kanan tidak komplain tidak buat video unboxing resiko beli barang murah kalau mau bagus tws harga up
5,bagus barangnya semoga awet,positive,bagus barang moga awet
1,headset nya sebelah lagi gak bisa terhubung ke bluetooth kecewa beli di tokoh ini untuk kalian yang mau beli disini gak usah lahh,negative,headset belah tidak hubung bluetooth kecewa beli tokoh untuk kalian mau beli sini tidak usah
5,lumayan lah,positive,lumayan
1,cuma nyala sebelah,negative,cuma nyala belah
5,barang ok seller ok,positive,barang ok jual ok
5,pengiriman n fungsi baik,positive,kirim fungsi baik
4,"tokonya amanah, barang sampe dngan aman, sesuai gambar. untuk kwalitas sesuai harga.... mantap",positive,toko amanah barang dengan aman sesuai gambar kualitas sesuai harga mantap
5,"barang sudah sampai, akan tetapi yg dikirim m36-1. alhamdulillah barang normal. bisa langsung dipdipakai.",positive,barang sampai tetapi kirim alhamdulillah barang normal langsung dipdipakai
2,saya pesen m36-3 malah dikirim yang m36-1,negative,pesan malah kirim
5,"barang sampai dengan aman meski boxnya sedikit penyok, tapi masih berfungsi dengan baik",positive,barang aman meski boxnya sedikit penyok masih fungsi dengan baik
5,barang sesuai makasi ga kepoto dah dibawa anak ku,positive,barang sesuai terima kasih tidak foto dah bawa anak ku
1,barang yg aktif cuman 1 dan baterai cepet abis,negative,barang aktif cuman baterai cepat abis
3,kemasan penyok untuk suara sesuai harga pengiriman cepat,neutral,kemas penyok suara sesuai harga kirim cepat
5,bagus rapi sampe² susah unboxingnya,positive,bagus rapi susah unboxingnya
5,susuai pesan...packing aman...harga terjangkau....belum sempat di coba..semoga bagus,positive,sesuai pesan packing aman harga jangkau sempat coba moga bagus
5,"packingnya rapih, barang sampai dengan utuh",positive,packingnya rapih barang dengan utuh
5,barangnya bagus 👍,positive,barang bagus
5,biar bintang yg berbicara,positive,biar bintang bicara
5,"barang sudah di terima dengan baik & sesuai pesanan, packing aman rapih, pengiriman tepat waktu, recomended, terima kasih untuk semua.",positive,barang di terima baik sesuai pesan packing aman rapih kirim tepat waktu recomended terima kasih semua
5,sip,positive,sip
3,kurang ngebass,neutral,kurang ngebass
5,mantapp.. mf baru ksh ulasan mksh toped+ kurir🚴📦,positive,mantap maaf baru kasih ulas terima kasih tokopedia kurir
5,kualitas baik jika mengingat harga yang murah. bisa dibilang salah satu pilihan tws terbaik dengan budget tipis,positive,kualitas baik ingat harga murah bilang salah satu pilih tws baik budget tipis
5,"pengiriman cepat, tiba tepat waktu. barang sesuai pesanan, terbungkus rapi",positive,kirim cepat tiba tepat waktu barang sesuai pesan bungkus rapi
5,respon cepat dan barang sesuai pesanan. baru di cas.. semoga awet dan berfungsi dengan baik.,positive,respon cepat barang sesuai pesan baru cas moga awet fungsi baik
5,blom di coba... semoga berfungsi dengan baik dan normal,positive,di coba moga fungsi baik normal
3,"kualitas suara menurun dari versi pertama keluar ga ada bass nya alias cempreng, indikator level battery lepas,,",neutral,kualitas suara turun versi pertama keluar tidak bass alias jelek indikator level battery lepas
3,yang kanan kenapa gak berfungsi ya,neutral,kanan tidak fungsi
5,lumayan.. cuma gak tau cara setting ke english,positive,lumayan cuma tidak tau cara atur english
5,mantap 👍,positive,mantap
5,sesuai gambar. walaupun pengiriman nya agak lama sih. tapi puas banget menggunakan produk ini.,positive,sesuai gambar walaupun kirim agak lama sih puas sangat produk
5,"packing aman dan unit berfungsi, semoga awet kedepannya",positive,packing aman unit fungsi moga awet depan
5,"barang sesuai ekspektasi, kualitas suara oke di harganya, berfungsi normal, selller responsif, pengiriman cepat, semoga awet",positive,barang sesuai ekspektasi kualitas suara oke harga fungsi normal jual responsif kirim cepat moga awet
5,good,positive,bagus
5,"untuk harga segini udah bagus banget, bass nya emang kurang si, tapi untuk santai santai ngisi kegabutan di kelas not bad lah. batrenya juga awet banget, terus untuk fitu...",positive,harga gin udah bagus sangat bass memang kurang si santai santai ngisi kegabutan kelas tidak bad baterai awet sangat terus untuk gitu
5,barang sesuai harga,positive,barang sesuai harga
5,diterima dengan baik...packaging rapih...baru dicoba kabel type c berfungsi dng baik...headset blm dicoba...,positive,terima baik emas rapih baru coba kabel type fungsi baik headset coba
1,"antara headset kanan & kiri tidak mau connect. ketika pairing ke hp, hanya salah satu saja yg keluar suara nya. kanan saja ato kiri saja. sudah dicharge full. sudah d...",negative,headset kanan kiri tidak mau connect ke ponsel salah satu yang keluar suara kanan atau kiri dicharge full sudah di
4,mayan not too impressed,positive,lumayan tidak too impressed
5,"barang oke sudah dicoba, cuma sempet kesel sm kurir rekomendasi id e**** nulis di status nama penerima tidak ada di alamat, menghubungi pun tidak, tiba2 dibilang tidak ad...",positive,barang oke coba cuma sempat kesal sama kurir rekomendasi id nulis status nama terima tidak di alamat hubung tidak tiba bilang tidak ad
5,"ternyata datang nya cepet, sat set no ribet.",positive,nyata datang cepat sat set tidak ribet
5,keren pesanan sesuai keinginan,positive,keren pesan sesuai
5,paket sampai dengan baik,positive,paket dengan baik
5,"barang sudah sampai dengan aman, barang berfungsi dengan baik, tka",positive,barang sampai aman barang fungsi baik tka
5,"lega karena packing aman, kualitas bagus barang berfungsi dengan baik,",positive,lega packing aman kualitas bagus barang fungsi baik
5,kualitas bagus tp ekspedisi luama,positive,kualitas bagus ekspedisi lama
3,barang yg di kirim tidak sesuai pesanan,neutral,barang di kirim tidak sesuai pesan
3,"paket telah sampai 👏👍 isi sesuai order dan descripsi...good 👏 packing rapat + aman... seller resposif...cepat ... hanya setelah di coba, lama penggunaannya kurang dari...",neutral,paket sampai isi sesuai order descripsi bagus packing rapat aman jual resposif cepat telah coba lama kurang
5,barang sudah sampai oke mantap belum dicoba. seller amanah dan kurir good job,positive,barang sampai oke mantap coba jual amanah kurir bagus job
5,"brg sesuai, smua fitur berfungsi baik",positive,barang sesuai semua fitur fungsi baik
2,"pengiriman cepat,respon cepat..sayang barang tidak sesuai dengan yg di tawarkan ataupun gambar yg ada di tokopedia..untuk kualitas sesuai harga,jgn berharap banyak wajar...",negative,kirim cepat respon cepat sayang barang tidak sesuai tawar gambar yang ada tokopedia kualitas sesuai harga jangan harap banyak wajar
5,minus saat ngecharge magnet tdk terlalu nempel,positive,minus ngecharge magnet tidak terlalu nempel
4,packing oke.....suara mantap.....thanks seller....thanks tokopedia,positive,packing oke suara mantap terima kasih jual terima kasih tokopedia
5,overall oke,positive,seluruh oke
5,mantap barangnya min,positive,mantap barang min
5,pengiriman cepat banget bintang kejora untuk packingnya. untuk budsnya ya untuk harga segini udah oke tapi ketahanan batrenya jelek banget jadi dikit2 perlu di charge. se...,positive,kirim cepat sangat bintang kejora packingnya budsnya untuk harga gin udah oke tahan baterai jelek sangat jadi dikit perlu charge se
5,"kualitas produk sangat good, barang cepat sampai, sesuai ekspektasi, pokonya barang bagus",positive,kualitas produk sangat bagus barang cepat sesuai ekspektasi poko barang bagus
5,"pembelian ke 2x, kali ini pengiriman nya lebih cepat hanya sehari langsung sampai👍👍",positive,beli kali kirim lebih cepat hari langsung
5,mantap,positive,mantap
2,"yg satu rusak, cuma hidup 1",negative,satu rusak cuma hidup
5,"okelah, belum dicoba",positive,oke coba
5,alhamdulillah normal gak kaya sebelumnya,positive,alhamdulillah normal tidak kaya
1,"kualitas suaranya tidak bagus, kualitas plastiknya jelek dan tidak ditampilkan di iklan",negative,kualitas suara tidak bagus kualitas plastik jelek tidak tampil iklan
5,barang berfungsi,positive,barang fungsi
5,"sangat worth it dengan harga segitu,lumayan suaranya,packingnya juga sangat aman 🙏",positive,sangat harga dengan harga segitu lumayan suara packingnya sangat aman
5,barangnya bagus sesuai dgn ekspektasi... moga2 bisa awet......seneng banget....,positive,barang bagus sesuai ekspektasi moga awet senang sangat
5,"pengiriman tanggal 31 baru datang tanggal 5, perkiraan barang datang 2-4, telat 1 hari, tim ekspedisi tolong diperbaiki :)",positive,kirim tanggal baru datang tanggal kira barang datang telat hari tim ekspedisi baik
5,belum di coba produknya mudah2an bagus dan awet,positive,di coba produk mudah an bagus awet
5,barang berfungsi dgn baik harganya lbh murah di banding yg lain,positive,barang fungsi baik harga lebih murah banding lain
4,"ini kedua kali saya beli, krn yg pertama box cas nya tercecer, saya kira box nya sama, bisa buat charging yg pertama juga, tapi pin nya ternyata beda, suaranya jg beda dg...",positive,dua kali beli pertama kotak cas cecer kira kotak sama buat charging yang pertama tapi pin nyata beda suara beda
3,harga bayar pas cod tidak sama dengan harga bayar yg tertera di tokopedia,neutral,harga bayar pas tidak sama harga bayar tera tokopedia
3,sesuai harganya... tidak terlalu memuaskan,neutral,sesuai harga tidak terlalu muas
4,hmm yaudahlah yaa,positive,hmm yaudahlah
5,"alhamdulillah sampai dengan selamat, mantul, enak dan cepat. good job seller",positive,alhamdulillah dengan selamat mantap betul enak cepat bagus job jual
5,berfungsi dengan baik. walau kadang indikatornya untuk baterai headsetnya g bisa di percaya. not bad untuk harga segitu,positive,fungsi baik kadang indikator baterai headsetnya di percaya tidak bad harga segitu
5,"packing bagus, dah di tes charging ok, dan fungsi semua normal",positive,packing bagus dah tes charging ok fungsi semua normal
5,"alhamdulillahh.. sesuai pesanan, mantappp",positive,alhamdulillahh sesuai pesan mantap
5,bagus suaranya juga lumayan,positive,bagus suara lumayan
5,barang datang sesuai pesanan. full bubble warp tapi kotaknya masih tetap penyok. headsetnya tidak seperti kambar tapi berfungsi dengan baik,positive,barang datang sesuai pesan full bubble bungkus kotak tetap penyok headsetnya tidak kambar fungsi baik
5,mantap..👍👍,positive,mantap
5,"perlu di tingkat kan lg dalam hal kecepatan respon pembelian,beli sabtu di proses senin pengiriman jg di perhatikan",positive,perlu tingkat kan dalam cepat respon beli beli sabtu proses senin kirim di perhati
3,suara l sama r kebalik,neutral,suara sama balik
5,barangnya sesuai deskripsi.. udah dicoba n bagus.. makasih banyak,positive,barang sesuai deskripsi udah coba bagus terima kasih banyak
4,barang tidak sesuai dgn yg di beli..beda type f9. 47 yg dtg f9 5.1...blom di coba karena.. gak bs di nyalain soalnya tidak ada sisa daya sm sekali.. mudah2an bs di gunaka...,positive,barang tidak sesuai beli beda type yang datang di coba tidak di nyalain soal tidak sisa daya sama sekali mudah an di
3,cuma bisa start/pause respon kurang sensitif,neutral,cuma start pause respon kurang sensitif
5,produk berfungsi dengan baik produk original packaging bagus,positive,produk fungsi baik produk original emas bagus
5,cepet... ga pake basa basi... tiba2 ud sampe aja barangnya,positive,cepat tidak pake basa basi tiba sampai aja barang
4,kualitas suara gak sebagus ekspektasi tapi lumayan. sisanya memuaskan 👍🏻,positive,kualitas suara tidak bagus ekspektasi lumayan sisa muas
5,baranng sesuai harga dan baik,positive,barang sesuai harga baik
5,"kurang ngebas, sama karet cadangannya gak ada",positive,kurang ngebass sama karet cadang tidak
4,"kondisi baik suara sound baik sesuai harga, semuanya normal gaada yg bermasalah, ga nyesel beli disini",positive,kondisi baik suara sound baik sesuai harga semua normal gaada masalah tidak nyesal beli sini
5,"pengiriman sangat cepat, seller sangat responsif, packing rapih. very recomended seller. gbu",positive,kirim sangat cepat jual sangat responsif packing rapih very recomended jual gbu
5,oke banget,positive,oke sangat
5,barang sesuai dan pengiriman ontime,positive,barang sesuai kirim tepat waktu
5,cepat sampai dan hasilnya bagus terima kasih,positive,cepat dan hasil bagus terima kasih
3,"tadi siang si normal normal aja, sekarang baru di pake 20mnt an malah yang kanan tiap di cas ngisi dari 0 sedangkan yang kiri ga dari 0 kalo di connect in masih 100% touc...",neutral,tadi siang si normal normal aja sekarang baru pake menit an malah kanan tiap cas ngisi sedang kiri tidak kalo connect
5,"barang super bagus, kualitas suara melampaui harganya, gokil, suaranya buled, bass banget, vokal lumayan clear dan kedap suara banget. super rekomen!",positive,barang super bagus kualitas suara lampau harga gokil suara bulat bass sangat vokal lumayan jelas kedap suara sangat super rekomendasi
5,makasih..tws keren,positive,terima kasih tws keren
5,"dengan harga segini dapat tws seperti ini bener² diluar ekspektasi,,semoga awet",positive,harga gin tws ini benar luar ekspektasi moga awet
5,"tidak sesuai gambar, tetapi kualitas baik dengan harga terjangkau",positive,tidak sesuai gambar kualitas baik harga jangkau
5,fast respon,positive,cepat respon
5,mantap,positive,mantap
5,mantab lah dengan harga segitu. barang sampai dengan selamat,positive,mantap harga segitu barang dengan selamat
5,barangnya lengkap sesuai deskripsi.. thanks,positive,barang lengkap sesuai deskripsi terima kasih
3,suara kurang,neutral,suara kurang
5,keren sih ini pas banget di telinga dan suara mantapp,positive,keren sih pas sangat telinga suara mantap
1,"bubble warp cuma 1 lapisan, baru dibuka kemasan sudah rusak, tutup power bank copot sebelah ( walau masih bisa diperbaiki ) mungkin karena beli pas flashsale, tapi saya y...",negative,bubble bungkus cuma lapis baru buka kemas rusak tutup power bank copot belah masih baik mungkin beli pas flashsale saya
5,sesuai pesanan pesanan cepat sampai,positive,sesuai pesan pesan cepat
4,fast respon kurir ok pelapak ramah. kualitas rumayan jika digunakan untuk pb hanya bertambah 7% sja dan hedsetnya batrainya baru dipakai cepat hbs,positive,cepat respon kurir ok lapak ramah kualitas lumayan guna power bank tambah dan hedsetnya baterai baru pakai cepat habis
5,bassnya nampol. gk sember biar kate bass equalizer offside. kirimnye kilat ⚡ secepat mantang ilang,positive,bassnya nampol gak sember biar kate bass offside kirim kilat cepat mantan hilang
5,alhamdulillah barang sudah sampai berfungsi baik dua-duanya terima kasih,positive,alhamdulillah barang sampai fungsi baik dua terima kasih
5,"sesuai dengan harapan ,goooood",positive,sesuai harap baik
5,sudah beli ke dua kali harga murah dan bagus berfungsi dgn baik semoga awet,positive,beli dua kali harga murah bagus fungsi baik moga awet
4,karet pengganti nya gak di ikut sertakan,positive,karet ganti tidak ikut
4,secara kemasan dan packing rapih aman dan baik ..cuman pas dibuka ada yg pecah 1...tp berfungsi dengan baik,positive,cara kemas packing rapih aman baik cuman pas buka yang pecah fungsi baik
5,mantab lah....harga murah tapi kualitas melebihi ekspektasi dari yang bakal didapet....next mungkin bakal upgrade nih ....,positive,mantap harga murah kualitas lebih ekspektasi yang bakal didapet next mungkin bakal upgrade nih
5,"packing nya aman, sampe sesuai estimasi waktu nya, sesuai dengan deskripsi, suara nya juga oke, ada buku panduan nya juga, semoga bisa bertahan lama",positive,packing aman sesuai estimasi waktu sesuai deskripsi suara juga oke buku pandu juga moga tahan lama
5,seller fast respon.. pengiriman cepat. suara bagus,positive,jual cepat respon kirim cepat suara bagus
4,respon cepat kirim cepat tapi jangan berharap banyak ferguso..karena gambar tdk sesuai kenyataan,positive,respon cepat kirim cepat jangan harap banyak ferguso gambar tidak sesuai nyata
5,guud....,positive,baik
5,brg ok cuma exp lama banget sampai gara2 discon ongkir,positive,barang ok cuma exp lama sangat gara diskon ongkir
